ID,DEPTH,TIMESTAMP,I/O TYPE,SEMANTIC ROLLING COS,SEMANTIC TRAINING COS,CONCEPT ROLLING COS,CONCEPT TRAINING COS,LEXICAL ROLLING COS,LEXICAL TRAINING COS
cf184892-9373-4a37-8f36-645044e159f4,0,2025-03-31T16:38:17.372Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
af190371-61b7-49f5-ba47-45b14210140b,0,2025-03-31T16:40:20.458Z,input,1,NaN,1,NaN,1,NaN
af190371-61b7-49f5-ba47-45b14210140b,0,2025-03-31T16:40:20.458Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
0460fe7b-548a-4e08-831c-b8cfc6d7f3bf,0,2025-03-31T16:41:54.380Z,input,1,NaN,1,NaN,1,NaN
0460fe7b-548a-4e08-831c-b8cfc6d7f3bf,0,2025-03-31T16:41:54.380Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
11079b2c-1ac3-4e8e-9a7c-ace349862bcb,0,2025-03-31T16:42:53.285Z,input,1,NaN,1,NaN,1,NaN
11079b2c-1ac3-4e8e-9a7c-ace349862bcb,0,2025-03-31T16:42:53.285Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
a05d6144-d18e-475d-a08f-4dd421bccf78,0,2025-03-31T16:43:26.058Z,input,1,NaN,1,NaN,1,NaN
a05d6144-d18e-475d-a08f-4dd421bccf78,0,2025-03-31T16:43:26.058Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
276eb564-33dc-49db-bea8-ed4055a21238,0,2025-03-31T16:44:14.100Z,input,1,NaN,1,NaN,1,NaN
276eb564-33dc-49db-bea8-ed4055a21238,0,2025-03-31T16:44:14.100Z,output,1,NaN,1,NaN,1,NaN
d3c3c76c-3a68-4724-899d-4c0fcd634955,0,2025-03-31T16:45:10.718Z,input,1,NaN,1,NaN,1,NaN
d3c3c76c-3a68-4724-899d-4c0fcd634955,0,2025-03-31T16:45:10.718Z,output,1,NaN,1,NaN,1,NaN
500154eb-9f05-426e-824c-d377c9462b64,0,2025-03-31T16:45:46.296Z,input,1,NaN,1,NaN,1,NaN
500154eb-9f05-426e-824c-d377c9462b64,0,2025-03-31T16:45:46.296Z,output,1,NaN,1,NaN,1,NaN
f92d903b-0317-4334-b936-e2930d4ddcc3,0,2025-03-31T16:47:42.776Z,input,1,NaN,1,NaN,1,NaN
f92d903b-0317-4334-b936-e2930d4ddcc3,0,2025-03-31T16:47:42.776Z,output,1,NaN,1,NaN,1,NaN
efb77282-a62e-4c0c-9592-c828be124154,0,2025-03-31T16:50:07.252Z,input,1,NaN,1,NaN,1,NaN
efb77282-a62e-4c0c-9592-c828be124154,0,2025-03-31T16:50:07.252Z,output,1,NaN,1,NaN,0.9999999999999999,NaN
e1a32126-3ab3-4f7b-a9ad-2d2380fa475d,0,2025-03-31T16:50:42.636Z,input,1,NaN,1,NaN,1,NaN
e1a32126-3ab3-4f7b-a9ad-2d2380fa475d,0,2025-03-31T16:50:42.636Z,output,1,NaN,1,NaN,1,NaN
b5a5a86d-07fc-4092-9db0-80c45712e3ed,0,2025-03-31T16:51:06.680Z,input,1,NaN,0.9999999999999997,NaN,0.9999999999999996,NaN
b5a5a86d-07fc-4092-9db0-80c45712e3ed,0,2025-03-31T16:51:06.680Z,output,1,NaN,0.9999999999999998,NaN,1,NaN
98b130f4-eccb-4ad0-99e8-009ba91846d6,0,2025-03-31T16:51:36.092Z,input,1,NaN,1,NaN,1,NaN
98b130f4-eccb-4ad0-99e8-009ba91846d6,0,2025-03-31T16:51:36.092Z,output,1,NaN,1,NaN,1,NaN
863d0aa5-ccdc-4100-8f1c-1676b49e914a,0,2025-03-31T16:51:46.720Z,input,1,NaN,1,NaN,1,NaN
863d0aa5-ccdc-4100-8f1c-1676b49e914a,0,2025-03-31T16:51:46.720Z,output,1,NaN,1,NaN,0.9999999999999999,NaN
5033fd0a-154f-4597-8675-5fc8aca2556f,0,2025-03-31T16:52:05.031Z,input,1,NaN,1,NaN,1,NaN
5033fd0a-154f-4597-8675-5fc8aca2556f,0,2025-03-31T16:52:05.031Z,output,0.9999999999999997,NaN,0.9999999999999999,NaN,1,NaN
82becb29-b54b-444f-8628-ff8bcf4c4930,0,2025-03-31T16:52:55.803Z,input,1,NaN,1,NaN,0.9999999999999996,NaN
82becb29-b54b-444f-8628-ff8bcf4c4930,0,2025-03-31T16:52:55.803Z,output,1,NaN,1,NaN,1,NaN
bffe94c3-ee25-4007-91d6-43d1b5ababe6,0,2025-03-31T16:55:45.535Z,input,1,NaN,0.9999999999999992,NaN,0.9999999999999999,NaN
bffe94c3-ee25-4007-91d6-43d1b5ababe6,0,2025-03-31T16:55:45.535Z,output,1,NaN,0.9999999999999996,NaN,0.9999999999999999,NaN
34d4a96b-3e61-49ef-b679-9844ad5ce6b1,0,2025-03-31T16:56:22.071Z,input,1,NaN,1,NaN,1,NaN
34d4a96b-3e61-49ef-b679-9844ad5ce6b1,0,2025-03-31T16:56:22.071Z,output,1,NaN,1,NaN,1,NaN
22f64080-e761-484a-9b27-52010cd8de07,0,2025-03-31T16:57:34.055Z,input,1,NaN,1,NaN,1,NaN
22f64080-e761-484a-9b27-52010cd8de07,0,2025-03-31T16:57:34.055Z,output,1,NaN,1,NaN,1,NaN
da97349a-c3cf-444a-87b4-bc993f7211c8,0,2025-03-31T16:59:16.263Z,input,1,NaN,1,NaN,1,NaN
da97349a-c3cf-444a-87b4-bc993f7211c8,0,2025-03-31T16:59:16.263Z,output,1,NaN,1,NaN,1,NaN
b9eebdd5-9881-404a-86de-fb327b1142f0,0,2025-03-31T17:01:46.383Z,input,1,NaN,1,NaN,1,NaN
b9eebdd5-9881-404a-86de-fb327b1142f0,0,2025-03-31T17:01:46.383Z,output,1,NaN,1,NaN,1,NaN
ecd5e02f-1beb-4506-9c1d-638935c60916,0,2025-03-31T17:03:16.462Z,input,1,NaN,1,NaN,1,NaN
ecd5e02f-1beb-4506-9c1d-638935c60916,0,2025-03-31T17:03:16.462Z,output,1,NaN,1,NaN,1,NaN
e25ccc97-7f14-4620-8793-65e71ba9e3ba,0,2025-03-31T17:04:43.958Z,input,1,NaN,1,NaN,1,NaN
e25ccc97-7f14-4620-8793-65e71ba9e3ba,0,2025-03-31T17:04:43.958Z,output,1,NaN,1,NaN,1,NaN
2ea8a3b3-96e1-4612-9318-9f1d8fc441a0,0,2025-03-31T17:05:02.020Z,input,0.9999999999999993,NaN,1,NaN,1,NaN
2ea8a3b3-96e1-4612-9318-9f1d8fc441a0,0,2025-03-31T17:05:02.020Z,output,1,NaN,1,NaN,1,NaN
1db312e9-e650-493a-8cab-f2560ee05fb3,0,2025-03-31T17:06:43.122Z,input,1,NaN,1,NaN,1,NaN
1db312e9-e650-493a-8cab-f2560ee05fb3,0,2025-03-31T17:06:43.122Z,output,1,NaN,1,NaN,1,NaN
ab9ff79c-05f6-432f-a9c1-e89f425db498,0,2025-03-31T17:07:13.117Z,input,1,NaN,1,NaN,1,NaN
ab9ff79c-05f6-432f-a9c1-e89f425db498,0,2025-03-31T17:07:13.117Z,output,1,NaN,1,NaN,1,NaN
